,speechiness,tempo
00bOhb4584JjyfTiXX81mO,0.0386,76.003
4f6pEU4jtMsZdSwzoGNXy3,0.0286,162.3
6W1teAlzqTH6URuh89Jb8H,0.0357,130.612
4gNErDjikE9QUQvkkqoB1S,0.0256,119.936
6xVQAgxCjmn7cRnOpK0AgP,0.0366,103.405
4k3jlHbLxI7POLqPNcPYwH,0.106,158.083
2t4qAkYHUANPtnB8CA0Tdi,0.0327,93.983
2VlLbhGLVJgdOW7kKdWWFc,0.0428,67.513
2GvI8j0DaIAGvubj5NinEF,0.0291,113.993
4QkDp3ZXAurjAxZoEFGHgl,0.038,121.311
6ZOBP3NvffbU4SZcrnt1k6,0.0286,99.009
3nXgEneF8F1kV8ru9NK6PZ,0.0726,119.916
0DeihRFRg0M7yuvejppsCw,0.0274,160.06
1jCsCYgzQQHk3bDJDuFbNi,0.038,143.994
6bSY42jHs2rQoeAAlqxilu,0.0311,136.084
70Vdd1gx5tn84jkAU31ASv,0.316,130.021
7v71Aur70pf46NQIoSQii7,0.0493,128.039
69kOkLUCkxIZYexIgSG8rq,0.0403,116.05
4xe9tms9PLDBKOhsx0jfZn,0.181,76.052
4nqdlZEyfCTE6vqm58XTrI,0.195,85.016
3dJAKrILAnNJwKFAzNmJvZ,0.0366,105.918
3haDGIIUsO4X756IjmLcQ2,0.0483,129.589
0oZI039wVNZr4lLrt6y6B4,0.0379,138.87
5RN42ghX3LURrittZmBjVD,0.134,97.323
3gMpAkmZk67HfJ8zDRe15D,0.0467,101.958
20I6sIOMTCkB6w7ryavxtO,0.0408,120.021
5g7TEC0qItwN6pcX53ZnX1,0.0321,140.272
4xpjtAqc46tg04BzHTZnz2,0.0288,81.058
4fST5rqz2g3pxTuHmKVSjR,0.0369,122.988
0wz1LjDb9ZNEYwOmDJ3Q4b,0.036,159.231
5AZof20SHZrZ3ea7rESo1y,0.0684,85.198
3Gaj5GBeZ8aynvtPkxrr9A,0.0399,128.1
2oEBqwVpWmjur0nNZBzndZ,0.119,165.967
2yZncEO6Txo1oXQmOeklyJ,0.151,127.994
04BSXvTvIQVeIxFA0rWhwI,0.251,179.373
09bRmFRViBORKQ2miwp04P,0.0358,115.309
6Gz5BU2LKbb8fSUQyHmm8S,0.0484,120.03
1d6HkPDsw5NORPfxBcJT7d,0.0673,159.972
5rLi8B8qgk6qThwRnKHW2P,0.0556,124.113
4ExBsdnpsa7Zx8OwPXIrdP,0.0485,128.011
1iXpq6uyves7dVGJ4MwGYr,0.032,78.651
